TIME,AMB_TEMP,CO,NO,NO2,NOx,O3,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PM10,PM2.5
1.3890672e+18,15.0,0.22,0.4,5.9,6.3,29.0,81.0,2.6,36.0,47.18568405537727,1.0,1.0,35.0,18.0
1.3890708e+18,15.0,0.21,0.7,5.1,5.8,32.0,80.0,2.0,39.0,46.82164972881884,1.0,1.0,37.0,15.0
1.3890744e+18,15.0,0.23,0.8,5.2,6.0,30.0,80.0,2.2,29.0,45.36485757910824,1.0,1.1,37.0,16.0
1.389078e+18,15.0,0.42,1.5,12.0,13.0,25.0,78.0,2.2,42.0,44.24861934600599,1.1,1.1,43.0,19.0
1.3890816e+18,17.0,0.36,2.9,11.0,14.0,25.0,73.0,3.1,34.0,41.01268371624133,1.2,0.9,45.0,18.0
1.3890852e+18,19.0,0.36,3.5,11.0,14.0,31.0,65.0,3.9,33.0,37.679122901420705,0.9,0.9,48.0,21.0
1.3890888e+18,21.0,0.35,2.8,11.0,13.0,44.0,58.0,3.5,25.0,35.78526745675841,1.3,1.2,51.0,20.0
1.3890924e+18,22.0,0.31,2.7,10.0,13.0,45.0,56.0,3.1,24.0,35.01416118243613,1.8,1.7,55.0,17.0
1.389096e+18,23.0,0.3,2.1,7.8,9.9,50.0,57.0,2.4,19.0,34.087792843691055,2.0,2.2,50.0,18.0
1.3890996e+18,23.0,0.28,1.6,7.1,8.7,53.0,55.0,2.2,31.0,33.61436180473702,1.7,1.6,43.0,17.0
1.3891032e+18,23.0,0.31,1.4,7.9,9.3,53.0,57.0,2.2,30.0,33.7289292011756,2.0,2.0,46.0,16.0
1.3891068e+18,23.0,0.3,1.3,9.4,11.0,49.0,59.0,2.0,31.0,34.167129027138515,1.0,1.3,46.0,17.0
1.3891104e+18,22.0,0.4,1.1,13.0,14.0,43.0,62.0,2.3,32.0,35.651572264081466,1.2,1.0,43.0,16.0
1.389114e+18,21.0,0.49,1.0,20.0,21.0,31.0,70.0,2.1,61.0,38.07681703337188,2.0,1.6,51.0,21.0
1.3891176e+18,20.0,0.43,0.8,15.0,16.0,31.0,74.0,1.8,50.0,41.45730147871389,1.2,1.6,54.0,25.0
1.3891212e+18,19.0,0.59,0.9,20.0,21.0,23.0,76.0,1.8,47.0,45.27073308072833,0.5,0.9,46.0,21.0
1.3891248e+18,19.0,0.77,3.8,24.0,27.0,17.0,79.0,6.7,31.0,47.68148342977385,0.7,0.6,45.0,20.0
1.3891284e+18,18.0,0.46,1.0,15.0,16.0,24.0,80.0,8.5,42.0,48.807966573816,0.6,1.4,44.0,17.0
1.389132e+18,18.0,0.45,1.1,14.0,15.0,25.0,81.0,6.0,39.0,48.6539784494087,0.9,0.9,43.0,19.0
1.3891356e+18,17.0,0.29,0.9,8.6,9.5,28.0,82.0,6.6,35.0,48.317309148265,1.2,0.9,42.0,18.0
1.3891392e+18,17.0,0.27,0.7,7.6,8.3,27.0,82.0,6.4,36.0,48.013568648079946,0.5,0.7,35.0,16.0
1.3891428e+18,17.0,0.26,0.7,6.9,7.6,27.0,83.0,5.0,31.0,47.81208868759208,0.8,0.7,34.0,17.0
1.3891464e+18,16.0,0.26,0.7,6.6,7.3,25.0,84.0,4.9,38.0,47.883640909569415,0.9,1.1,37.0,20.0
1.38915e+18,16.0,0.22,0.9,4.5,5.4,29.0,83.0,2.8,31.0,47.30518218197131,1.0,0.9,32.0,22.0
1.3891536e+18,16.0,0.21,0.8,4.4,5.3,28.0,84.0,2.2,32.0,47.18568405537727,0.9,0.8,29.0,23.0
1.3891572e+18,16.0,0.26,0.8,6.0,6.8,26.0,83.0,2.2,27.0,46.82164972881884,0.6,0.9,31.0,18.0
1.3891608e+18,16.0,0.27,0.6,6.7,7.3,25.0,84.0,2.3,31.0,45.36485757910824,1.1,1.2,33.0,16.0
1.3891644e+18,16.0,0.51,3.7,17.0,21.0,17.0,81.0,2.9,29.0,44.24861934600599,0.7,0.8,42.0,22.0
1.389168e+18,18.0,0.47,4.9,15.0,20.0,23.0,73.0,3.5,33.0,41.01268371624133,0.8,0.9,48.0,23.0
1.3891716e+18,21.0,0.49,37.679122901420705,37.679122901420705,37.679122901420705,29.0,65.0,2.9,33.0,37.679122901420705,0.6,0.7,37.679122901420705,37.679122901420705
1.3891752e+18,23.0,0.52,4.6,15.0,20.0,41.0,59.0,3.1,63.0,35.78526745675841,1.6,1.0,62.0,23.0
1.3891788e+18,24.0,0.35,2.5,8.8,11.0,55.0,55.0,3.6,56.0,35.01416118243613,2.9,2.1,60.0,24.0
1.3891824e+18,23.0,0.31,2.5,8.5,11.0,48.0,59.0,3.6,61.0,34.087792843691055,1.7,2.6,54.0,24.0
1.389186e+18,24.0,0.33,1.9,8.3,10.0,56.0,56.0,3.1,55.0,33.61436180473702,2.7,2.1,48.0,24.0
1.3891896e+18,22.0,0.49,1.7,17.0,18.0,67.0,70.0,4.1,54.0,33.7289292011756,1.8,2.6,62.0,36.0
